date,source,series,price,unit,reason
2001-01-27,rubber,Kochi | RSS4,435.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (3209 before, 3209 after) - a data-entry slip in the source; left out, not corrected"
2001-01-27,rubber,Kochi | RSS5,453.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (3079 before, 3079 after) - a data-entry slip in the source; left out, not corrected"
2003-05-24,rubber,Kochi | RSS5,48.25,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (4825 before, 4850 after) - a data-entry slip in the source; left out, not corrected"
2013-04-26,rubber,Kochi | RSS5,156000.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (15400 before, 15600 after) - a data-entry slip in the source; left out, not corrected"
2001-01-27,rubber,Kottayam | ISNR20,345.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (2750 before, 2500 after) - a data-entry slip in the source; left out, not corrected"
2001-01-27,rubber,Kottayam | Latex(60%),345.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (2790 before, 2735 after) - a data-entry slip in the source; left out, not corrected"
2002-08-09,rubber,Kottayam | Latex(60%),29.45,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (3155 before, 3103 after) - a data-entry slip in the source; left out, not corrected"
2006-09-30,rubber,Kottayam | Latex(60%),60.92,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (6050 before, 6000 after) - a data-entry slip in the source; left out, not corrected"
2012-12-27,rubber,Kottayam | Latex(60%),105.25,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (10525 before, 10575 after) - a data-entry slip in the source; left out, not corrected"
2014-02-08,rubber,Kottayam | Latex(60%),116660.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (11735 before, 11735 after) - a data-entry slip in the source; left out, not corrected"
2001-01-27,rubber,Kottayam | RSS4,453.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (3209 before, 3209 after) - a data-entry slip in the source; left out, not corrected"
2001-01-27,rubber,Kottayam | RSS5,345.0,Rs/100kg,"one-day value in the Rubber Board's own database that breaks from both neighbours (3079 before, 3079 after) - a data-entry slip in the source; left out, not corrected"
2024-12-04,sugar,Kanpur | M/30,3.874,Rs/quintal,"one-day value in the source's own data that breaks from both neighbours (3885 before, 3864 after) - a data-entry slip; left out, not corrected"
