Symbol,Company,Delisted Date,Type of Delisting,,,,,
CABOTINDIA,Cabot India Ltd,15-Apr-02,Voluntary Delisting ,,,,,
TOLANIBULK,Tolani Bulk Carriers Ltd,15-Apr-02,Voluntary Delisting ,,,,,
HOGANAS,Hoganas India Ltd,07-Aug-02,Voluntary Delisting ,,,,,
ANIKSHIP,Anik Ship Breaking Industries Ltd.,26-Jul-04,Compulsory Delisting ,,,,,
INFARINDIA,Infar (India) Ltd.,11-Oct-02,Voluntary Delisting ,,,,,
CADBURY,Cadbury India Limited,07-Feb-03,Voluntary Delisting ,,,,,
BHARATPIPE,Bharat Pipes and Fittings Ltd,26-Jul-04,Compulsory Delisting ,,,,,
SRIVISHCEM,Sri Vishnu Cement Ltd,10-Mar-03,Voluntary Delisting ,,,,,
MADURACOAT,Madura Coats Limited,25-Apr-03,Voluntary Delisting ,,,,,
RECKCOLMAN,Reckitt Benckiser (India) Ltd,12-May-03,Voluntary Delisting ,,,,,
BHARATHOT,Bharat Hotels Limited,17-Jun-03,Voluntary Delisting ,,,,,
OTIS,OTIS Elevator Company Ltd,17-Jun-03,Voluntary Delisting ,,,,,
INVELTRANS,GKN Driveshafts (India) Limited,29-Jul-03,Voluntary Delisting ,,,,,
INDAL,Indian Aluminium Co. Ltd.,08-Apr-04,Voluntary Delisting ,,,,,
CRBCAPS,CRB Capital Markets Ltd,26-Jul-04,Compulsory Delisting ,,,,,
CRBCORP,CRB Corporation Ltd,26-Jul-04,Compulsory Delisting ,,,,,
DIGITALEQP,Digital GlobalSoft Ltd.,15-Apr-04,Voluntary Delisting ,,,,,
E-SERVEINT,e-Serve International Limited,22-Dec-04,Voluntary Delisting ,,,,,
INDGYPSUM,India Gypsum Ltd,12-Jan-05,Voluntary Delisting ,,,,,
HINDSPG,Hindoostan Spinning and Weaving Mills Ltd,05-Apr-05,Voluntary Delisting ,,,,,
GFL,Godrej Foods Limited,19-Apr-05,Voluntary Delisting ,,,,,
ABGHEAVY,ABG Heavy Industries Ltd,21-Jul-05,Voluntary Delisting ,,,,,
WIMCOLTD,Wimco Limited,14-Dec-05,Voluntary Delisting ,,,,,
POLYCHEM,Polychem Ltd,27-Dec-05,Voluntary Delisting ,,,,,
GRMAGNET,GR Magnets Ltd.,26-Jul-04,Compulsory Delisting ,,,,,
DATTMEDI,Datt Mediproducts Limited,23-Jan-06,Voluntary Delisting ,,,,,
FSS,Flextronics Software Systems Limited,10-Feb-06,Voluntary Delisting ,,,,,
INTEGENT,Integrated Enterprises (India) Limited,29-May-06,Voluntary Delisting ,,,,,
ADITYAINTL,Aditya International Ltd.,12-Feb-07,Voluntary Delisting ,,,,,
EICHER,Eicher Limited,13-Mar-07,Voluntary Delisting ,,,,,
YOKOGAWA,Yokogawa India Limited,10-May-07,Voluntary Delisting ,,,,,
WARTSILA,Wartsila India Ltd,19-Jun-07,Voluntary Delisting ,,,,,
OENCONNECT,FCI OEN Connectors Limited,17-Sep-07,Voluntary Delisting ,,,,,
PAVCI,Panasonic AVC Networks India Co. Limited.,14-Dec-07,Voluntary Delisting ,,,,,
KAMALOVER,Kamal Overseas Ltd.,26-Jul-04,Compulsory Delisting ,,,,,
KEDIADIST,Kedia Distilleries Ltd.,26-Jul-04,Compulsory Delisting ,,,,,
ESTL,Essar Steel Limited,24-Dec-07,Voluntary Delisting ,,,,,
IGS,iGate Global Solutions Limited,04-Feb-08,Voluntary Delisting ,,,,,
BOSCHCHASY,Bosch Chassis Systems India Ltd.,07-Nov-08,Voluntary Delisting ,,,,,
MARUTIORGN,Maruti Organics Limited,26-Jul-04,Compulsory Delisting ,,,,,
PENTACOMMU,Pentasoft Technologies Limited,09-Jan-09,Voluntary Delisting ,,,,,
PENTSFWARE,Pentamedia Graphics Limited,09-Jan-09,Voluntary Delisting ,,,,,
MRINALDYE,Mrinal Dyeing & Manufacturing Co. Ltd,26-Jul-04,Compulsory Delisting ,,,,,
MALCO,The Madras Aluminium Co Ltd,19-Jun-09,Voluntary Delisting ,,,,,
LOTTEINDIA,Lotte India Corporation Limited,31-Jul-09,Voluntary Delisting ,,,,,
