qe,n500_members,revS,revC,patS,patC,patE,revS_pct,revC_pct,patS_pct,patC_pct,patE_pct
20021231,500,256,0,256,0,256,51.2,0.0,51.2,0.0,51.2
20030331,500,257,0,257,0,257,51.4,0.0,51.4,0.0,51.4
20030630,501,317,0,318,0,318,63.3,0.0,63.5,0.0,63.5
20030930,500,263,0,264,0,264,52.6,0.0,52.8,0.0,52.8
20031231,498,317,0,318,0,318,63.7,0.0,63.9,0.0,63.9
20040331,498,294,0,295,0,295,59.0,0.0,59.2,0.0,59.2
20040630,498,287,0,289,0,289,57.6,0.0,58.0,0.0,58.0
20040930,498,169,0,170,0,170,33.9,0.0,34.1,0.0,34.1
20041231,500,149,0,152,0,152,29.8,0.0,30.4,0.0,30.4
20050331,500,406,0,409,0,409,81.2,0.0,81.8,0.0,81.8
20050630,500,469,0,470,0,470,93.8,0.0,94.0,0.0,94.0
20050930,500,467,0,468,0,468,93.4,0.0,93.6,0.0,93.6
20051231,500,470,0,471,0,471,94.0,0.0,94.2,0.0,94.2
20060331,500,463,0,464,0,464,92.6,0.0,92.8,0.0,92.8
20060630,500,471,0,472,0,472,94.2,0.0,94.4,0.0,94.4
20060930,500,468,0,470,0,470,93.6,0.0,94.0,0.0,94.0
20061231,500,473,0,475,0,475,94.6,0.0,95.0,0.0,95.0
20070331,500,463,0,464,0,464,92.6,0.0,92.8,0.0,92.8
20070630,500,465,0,466,0,466,93.0,0.0,93.2,0.0,93.2
20070930,500,462,0,462,0,462,92.4,0.0,92.4,0.0,92.4
20071231,502,479,0,480,0,480,95.4,0.0,95.6,0.0,95.6
20080331,502,486,0,490,0,490,96.8,0.0,97.6,0.0,97.6
20080630,503,493,0,497,0,497,98.0,0.0,98.8,0.0,98.8
20080930,503,492,0,496,0,496,97.8,0.0,98.6,0.0,98.6
20081231,497,485,0,489,0,489,97.6,0.0,98.4,0.0,98.4
20090331,497,482,0,489,0,489,97.0,0.0,98.4,0.0,98.4
20090630,497,485,0,488,0,488,97.6,0.0,98.2,0.0,98.2
20090930,498,485,0,488,0,488,97.4,0.0,98.0,0.0,98.0
20091231,495,485,0,488,0,488,98.0,0.0,98.6,0.0,98.6
20100331,493,479,0,484,1,484,97.2,0.0,98.2,0.2,98.2
20100630,493,483,0,485,2,485,98.0,0.0,98.4,0.4,98.4
20100930,493,482,0,484,2,484,97.8,0.0,98.2,0.4,98.2
20101231,493,482,0,484,2,484,97.8,0.0,98.2,0.4,98.2
20110331,489,477,0,482,2,482,97.5,0.0,98.6,0.4,98.6
20110630,489,481,0,484,2,484,98.4,0.0,99.0,0.4,99.0
20110930,489,479,0,482,2,482,98.0,0.0,98.6,0.4,98.6
20111231,501,496,0,496,2,496,99.0,0.0,99.0,0.4,99.0
20120331,501,488,0,491,27,491,97.4,0.0,98.0,5.4,98.0
20120630,501,483,0,486,28,486,96.4,0.0,97.0,5.6,97.0
20120930,499,484,0,486,27,486,97.0,0.0,97.4,5.4,97.4
20121231,499,481,0,484,28,484,96.4,0.0,97.0,5.6,97.0
20130331,499,478,1,481,26,481,95.8,0.2,96.4,5.2,96.4
20130630,499,474,0,477,26,477,95.0,0.0,95.6,5.2,95.6
20130930,498,487,0,490,30,490,97.8,0.0,98.4,6.0,98.4
20131231,498,485,1,487,29,487,97.4,0.2,97.8,5.8,97.8
20140331,500,494,0,496,29,496,98.8,0.0,99.2,5.8,99.2
20140630,500,495,0,496,30,496,99.0,0.0,99.2,6.0,99.2
20140930,500,496,0,498,32,498,99.2,0.0,99.6,6.4,99.6
20141231,500,495,1,497,27,497,99.0,0.2,99.4,5.4,99.4
20150331,500,499,258,500,286,500,99.8,51.6,100.0,57.2,100.0
20150630,500,499,274,500,290,500,99.8,54.8,100.0,58.0,100.0
20150930,501,500,280,501,296,501,99.8,55.9,100.0,59.1,100.0
20151231,499,499,277,499,299,499,100.0,55.5,100.0,59.9,100.0
20160331,499,498,257,499,298,499,99.8,51.5,100.0,59.7,100.0
20160630,497,495,268,497,296,497,99.6,53.9,100.0,59.6,100.0
20160930,497,495,279,497,298,497,99.6,56.1,100.0,60.0,100.0
20161231,497,495,272,497,301,497,99.6,54.7,100.0,60.6,100.0
20170331,499,498,261,499,307,499,99.8,52.3,100.0,61.5,100.0
20170630,500,499,254,500,305,500,99.8,50.8,100.0,61.0,100.0
20170930,501,500,264,501,308,501,99.8,52.7,100.0,61.5,100.0
20171231,501,499,261,501,308,501,99.6,52.1,100.0,61.5,100.0
20180331,503,500,251,503,313,503,99.4,49.9,100.0,62.2,100.0
20180630,503,501,297,503,404,503,99.6,59.0,100.0,80.3,100.0
20180930,503,502,324,502,417,502,99.8,64.4,99.8,82.9,99.8
20181231,501,499,315,499,412,499,99.6,62.9,99.6,82.2,99.6
20190331,500,496,324,500,436,500,99.2,64.8,100.0,87.2,100.0
20190630,500,491,455,500,487,500,98.2,91.0,100.0,97.4,100.0
20190930,500,494,464,500,491,500,98.8,92.8,100.0,98.2,100.0
20191231,500,496,492,500,498,500,99.2,98.4,100.0,99.6,100.0
20200331,500,498,493,500,498,500,99.6,98.6,100.0,99.6,100.0
20200630,501,499,491,501,498,501,99.6,98.0,100.0,99.4,100.0
20200930,501,499,490,501,497,501,99.6,97.8,100.0,99.2,100.0
20201231,501,498,495,501,497,501,99.4,98.8,100.0,99.2,100.0
20210331,501,498,491,501,497,501,99.4,98.0,100.0,99.2,100.0
