sym,financial,run_len,from,to,worst_pct,median_pct
HBSL,True,1,20241231,20241231,-1465.6,-1465.6
SANWARIA,False,12,20230630,20260331,-100.0,-100.0
AUSTRAL,False,5,20180630,20190930,-100.0,-100.0
MVL,False,3,20180930,20190331,-100.0,-100.0
NECLIFE,False,2,20250930,20260331,-100.0,-58.3
OMKARCHEM,False,2,20250630,20250930,-100.0,-100.0
NAGAFERT,False,1,20251231,20251231,-100.0,-100.0
OSWALAGRO,False,1,20230630,20230630,-100.0,-100.0
SVPGLOB,False,1,20240331,20240331,-100.0,-100.0
ABHISHEK,False,1,20250630,20250630,-100.0,-100.0
JINDCOT,False,1,20230630,20230630,-100.0,-100.0
KSERASERA,False,1,20260331,20260331,-100.0,-100.0
ADVENTHTL,False,1,20250930,20250930,-100.0,-100.0
ATNINTER,False,1,20250630,20250630,-100.0,-100.0
CEMPRO,False,3,20240331,20250331,-99.9,-99.7
RTNINDIA,True,2,20230930,20231231,-99.5,-99.3
MAHAPEXLTD,False,13,20230331,20260331,-99.1,-76.0
SATHAISPAT,False,1,20220331,20220331,-97.8,-97.8
BLIL,False,1,20250930,20250930,-97.0,-97.0
RANBAXY,False,1,20111231,20111231,-96.9,-96.9
LAHOTIOV,False,5,20240331,20260331,-94.9,-4.6
ORTINGLOBE,False,4,20240331,20260331,-90.0,-51.7
NETWORK18,False,1,20240630,20240630,-87.6,-87.6
GYFTR,False,3,20230630,20231231,-87.1,-82.8
MASKINVEST,False,1,20260331,20260331,-85.7,-85.7
SHAHALLOYS,False,2,20230630,20260331,-83.1,-47.1
TREJHARA,False,1,20250630,20250630,-80.4,-80.4
HEMIPROP,False,1,20250331,20250331,-75.0,-75.0
MTNL,False,5,20240930,20251231,-64.4,-38.0
IFCI,True,2,20230331,20250331,-59.6,-33.8
SABEVENTS,False,1,20251231,20251231,-50.0,-50.0
WEBELSOLAR,False,1,20231231,20231231,-49.0,-49.0
AFSL,False,3,20230331,20231231,-45.8,-36.4
MERCATOR,False,1,20210331,20210331,-45.0,-45.0
MBLINFRA,False,1,20250930,20250930,-44.2,-44.2
VALUEIND,True,1,20230930,20230930,-44.0,-44.0
IWEL,True,3,20220331,20221231,-42.2,-35.2
PDPL,False,6,20190331,20220331,-40.2,-9.4
MMTC,False,4,20231231,20260331,-39.0,-31.5
MCDHOLDING,True,1,20200930,20200930,-37.0,-37.0
CHROMATIC,False,2,20190331,20190630,-35.1,-21.5
BHARATIDIL,False,1,20240331,20240331,-29.0,-29.0
FCONSUMER,False,1,20230930,20230930,-28.0,-28.0
COHANCE,False,2,20230930,20240331,-27.0,-19.5
STARTECK,True,1,20260331,20260331,-26.2,-26.2
DOLATALGO,False,1,20240331,20240331,-25.0,-25.0
IVRCLINFRA,True,1,20250930,20250930,-23.5,-23.5
BSE,False,5,20230630,20240630,-23.2,-18.0
PEL,True,1,20241231,20241231,-22.2,-22.2
PIRAMALFIN,True,3,20241231,20250930,-21.5,-19.0
JPASSOCIAT,False,2,20231231,20240331,-21.0,-19.5
XLENERGY,False,1,20190331,20190331,-20.0,-20.0
CRAMC,False,2,20251231,20260630,-19.9,-14.6
BHARATCOAL,False,1,20251231,20251231,-19.8,-19.8
TVSHLTD,True,3,20230630,20231231,-19.5,-5.6
BSLIMITED,False,1,20180630,20180630,-19.0,-19.0
