sym,qe,basis,status,stored_now,screener_now,pct,basis_copy_in_ledger
ABDL,20230930,std,MATCHES_SITE_ROW,851.0,851.0,0.0,True
ABDL,20230930,con,CON_NOT_SWEPT,851.0,,,True
ABDL,20231231,std,MATCHES_SITE_ROW,895.0,895.0,0.0,True
ABDL,20231231,con,CON_NOT_SWEPT,895.0,,,True
ABLBL,20240630,std,MATCHES_SITE_ROW,1796.0,1796.0,0.0,False
ABLBL,20240630,con,CON_NOT_SWEPT,1784.0,,,False
ABLBL,20240930,std,MATCHES_SITE_ROW,1962.0,1962.0,0.0,False
ABLBL,20240930,con,CON_NOT_SWEPT,1965.0,,,False
ABLBL,20241231,std,MATCHES_SITE_ROW,2130.0,2130.0,0.0,False
ABLBL,20241231,con,CON_NOT_SWEPT,2138.0,,,False
ABLBL,20250331,std,MATCHES_SITE_ROW,1942.0,1942.0,0.0,True
ABLBL,20250331,con,CON_NOT_SWEPT,1942.0,,,True
ACMESOLAR,20230930,std,MATCHES_SITE_ROW,139.0,139.0,0.0,False
ACMESOLAR,20230930,con,CON_NOT_SWEPT,323.0,,,False
ACMESOLAR,20231231,std,MATCHES_SITE_ROW,82.0,82.0,0.0,False
ACMESOLAR,20231231,con,CON_NOT_SWEPT,332.0,,,False
ACMESOLAR,20240331,std,MATCHES_SITE_ROW,190.0,190.0,0.0,False
ACMESOLAR,20240331,con,CON_NOT_SWEPT,295.0,,,False
ACMESOLAR,20240630,std,MATCHES_SITE_ROW,369.0,369.0,0.0,False
ACMESOLAR,20240630,con,CON_NOT_SWEPT,310.0,,,False
ACUTAAS,20231231,std,MATCHES_SITE_ROW,162.0,162.0,0.0,False
ACUTAAS,20231231,con,CON_NOT_SWEPT,166.0,,,False
AEGISLOG,20230930,std,MATCHES_SITE_ROW,584.0,584.0,0.0,False
AEGISVOPAK,20240630,std,MATCHES_SITE_ROW,129.0,129.0,0.0,False
AEGISVOPAK,20240630,con,CON_NOT_SWEPT,154.0,,,False
AEGISVOPAK,20240930,std,MATCHES_SITE_ROW,122.0,122.0,0.0,False
AEGISVOPAK,20240930,con,CON_NOT_SWEPT,149.0,,,False
AIIL,20230930,con,CON_NOT_SWEPT,2152.0,,,False
ANTHEM,20240630,con,CON_NOT_SWEPT,339.0,,,False
ARE&M,20250331,std,MATCHES_SITE_ROW,2974.0,2974.0,0.0,False
ARE&M,20250331,con,CON_NOT_SWEPT,3060.0,,,False
ATHERENERG,20240331,std,MATCHES_SITE_ROW,523.0,523.0,0.0,False
ATHERENERG,20240630,std,MATCHES_SITE_ROW,360.0,360.0,0.0,False
ATHERENERG,20240930,std,MATCHES_SITE_ROW,584.0,584.0,0.0,False
ATHERENERG,20241231,std,MATCHES_SITE_ROW,635.0,635.0,0.0,False
BAJAJHFL,20230930,std,MATCHES_SITE_ROW,1911.0,1911.0,0.0,False
BAJAJHFL,20231231,std,MATCHES_SITE_ROW,1946.0,1946.0,0.0,False
BAJAJHFL,20240331,std,MATCHES_SITE_ROW,1996.0,1996.0,0.0,False
BELRISE,20240331,std,MATCHES_SITE_ROW,1476.0,1476.0,0.0,False
BELRISE,20240331,con,CON_NOT_SWEPT,1526.0,,,False
BHARTIHEXA,20230930,std,MATCHES_SITE_ROW,1738.0,1738.0,0.0,False
BHARTIHEXA,20231231,std,MATCHES_SITE_ROW,1801.0,1801.0,0.0,False
CEMPRO,20240630,std,MATCHES_SITE_ROW,2376.0,2376.0,0.0,False
CEMPRO,20240630,con,CON_NOT_SWEPT,2381.0,,,False
CPPLUS,20240630,std,MATCHES_SITE_ROW,636.0,636.0,0.0,True
CPPLUS,20240630,con,CON_NOT_SWEPT,636.0,,,True
CPPLUS,20240930,std,MATCHES_SITE_ROW,662.0,662.0,0.0,False
CPPLUS,20240930,con,CON_NOT_SWEPT,669.0,,,False
CPPLUS,20241231,std,MATCHES_SITE_ROW,801.0,801.0,0.0,False
CPPLUS,20241231,con,CON_NOT_SWEPT,830.0,,,False
CPPLUS,20250331,std,MATCHES_SITE_ROW,967.0,967.0,0.0,False
CPPLUS,20250331,con,CON_NOT_SWEPT,977.0,,,False
CYIENT,20250331,std,MATCHES_SITE_ROW,608.0,608.0,0.0,False
DOMS,20230930,std,MATCHES_SITE_ROW,346.0,346.0,0.0,False
DOMS,20230930,con,CON_NOT_SWEPT,382.0,,,False
EMCURE,20230930,std,MATCHES_SITE_ROW,888.0,888.0,0.0,False
EMCURE,20230930,con,CON_NOT_SWEPT,1663.0,,,False
EMCURE,20231231,std,MATCHES_SITE_ROW,870.0,870.0,0.0,False
EMCURE,20231231,con,CON_NOT_SWEPT,1668.0,,,False
EMMVEE,20241231,std,MATCHES_SITE_ROW,356.0,356.0,0.0,False
EMMVEE,20241231,con,CON_NOT_SWEPT,528.0,,,False
EMMVEE,20250331,std,MATCHES_SITE_ROW,544.0,544.0,0.0,False
EMMVEE,20250331,con,CON_NOT_SWEPT,1072.0,,,False
ENRIN,20240331,std,MATCHES_SITE_ROW,-0.0,0.0,,False
ETERNAL,20231231,std,MATCHES_SITE_ROW,1782.0,1782.0,0.0,False
ETERNAL,20231231,con,CON_NOT_SWEPT,3288.0,,,False
FIRSTCRY,20230930,std,MATCHES_SITE_ROW,504.0,504.0,0.0,False
FIRSTCRY,20230930,con,CON_NOT_SWEPT,1507.0,,,False
FIRSTCRY,20231231,std,MATCHES_SITE_ROW,636.0,636.0,0.0,False
FIRSTCRY,20231231,con,CON_NOT_SWEPT,1900.0,,,False
FIRSTCRY,20240331,std,MATCHES_SITE_ROW,540.0,540.0,0.0,False
FIRSTCRY,20240331,con,CON_NOT_SWEPT,1667.0,,,False
FORCEMOT,20230930,std,MATCHES_SITE_ROW,1802.0,1802.0,0.0,True
FORCEMOT,20230930,con,CON_NOT_SWEPT,1802.0,,,True
FORCEMOT,20231231,std,MATCHES_SITE_ROW,1692.0,1692.0,0.0,True
FORCEMOT,20231231,con,CON_NOT_SWEPT,1692.0,,,True
GMRAIRPORT,20230930,std,MATCHES_SITE_ROW,65.0,65.0,0.0,False
GMRAIRPORT,20240930,std,MATCHES_SITE_ROW,282.0,282.0,0.0,False
GROWW,20240930,std,MATCHES_SITE_ROW,802.0,802.0,0.0,False
GROWW,20240930,con,CON_NOT_SWEPT,1125.0,,,False
GVT&D,20230930,std,MATCHES_SITE_ROW,698.0,698.0,0.0,False
GVT&D,20231231,std,MATCHES_SITE_ROW,839.0,839.0,0.0,False
GVT&D,20240331,std,MATCHES_SITE_ROW,914.0,914.0,0.0,False
GVT&D,20240630,std,MATCHES_SITE_ROW,958.0,958.0,0.0,False
GVT&D,20240930,std,MATCHES_SITE_ROW,1108.0,1108.0,0.0,False
GVT&D,20241231,std,MATCHES_SITE_ROW,1074.0,1074.0,0.0,False
GVT&D,20250331,std,MATCHES_SITE_ROW,1153.0,1153.0,0.0,False
