sym,financial,run_len,from,to,worst_pct,median_pct
SANWARIA,False,12,20230630,20260331,-100.0,-100.0
AUSTRAL,False,3,20180630,20181231,-100.0,-100.0
MVL,False,3,20180930,20190331,-100.0,-100.0
NECLIFE,False,2,20250930,20260331,-100.0,-58.3
OMKARCHEM,False,2,20250630,20250930,-100.0,-100.0
CEMPRO,False,2,20241231,20250331,-99.9,-51.1
RTNINDIA,True,2,20230930,20231231,-99.5,-99.3
MAHAPEXLTD,False,13,20230331,20260331,-99.1,-76.0
GYFTR,False,3,20230630,20231231,-87.1,-82.8
MTNL,False,4,20240930,20250630,-64.4,-39.4
ORTINGLOBE,False,2,20250331,20250630,-50.0,-47.2
AFSL,False,2,20230331,20230630,-45.8,-41.1
MMTC,False,2,20231231,20240331,-36.0,-31.5
IWEL,True,2,20220331,20220630,-35.2,-33.4
CHROMATIC,False,2,20190331,20190630,-35.1,-21.5
BSE,False,5,20230630,20240630,-23.2,-18.0
PIRAMALFIN,True,2,20241231,20250331,-21.5,-20.3
JPASSOCIAT,False,2,20231231,20240331,-21.0,-19.5
TVSHLTD,True,3,20230630,20231231,-19.5,-5.6
SADBHIN,False,2,20230930,20231231,-16.5,-9.7
HDBFS,True,4,20240630,20250331,-15.9,-15.1
AVAILFC,False,2,20230630,20230930,-15.4,-11.3
THEMISMED,False,2,20240630,20240930,-14.9,-14.3
AADHARHFC,True,5,20230630,20240630,-12.1,-7.7
CUPID,False,4,20250630,20260331,-10.1,-8.6
SELMC,False,4,20240930,20250630,-9.6,-4.8
ESSARSHPNG,False,4,20231231,20240930,-8.6,-8.3
SPICEJET,False,3,20240630,20250630,-7.7,-6.6
INDOWIND,False,2,20251231,20260331,-7.3,-5.7
PDPL,False,3,20200331,20200930,-7.2,-4.7
EROSMEDIA,False,2,20251231,20260331,-6.7,-4.9
LAHOTIOV,False,4,20250630,20260331,-6.5,-4.4
SHLAKSHMI,False,2,20181231,20190331,-6.2,-4.6
MONARCH,False,2,20230630,20230930,-5.2,-3.7
MOTHERSON,False,2,20230630,20230930,-4.3,-4.1
RNBDENIMS,False,2,20250331,20250630,-4.2,-3.5
SAKTHIFIN,False,4,20240331,20250630,-3.9,-3.5
SUPREMEINF,False,2,20231231,20250930,-3.6,-3.5
HITECHGEAR,False,2,20240930,20241231,-2.9,-2.9
DISHMAN,False,3,20141231,20150630,-2.8,-2.2
REPCOHOME,True,2,20240930,20241231,-2.8,-2.4
KSK,False,3,20180331,20180930,-2.3,-2.3
BALLARPUR,False,2,20200331,20231231,-2.2,-2.1
